"","Property","W","P_value","SamplesSie"
"1","Acidic",25.5,3.59055423895774e-05,18
"2","Aliphatic",89.5,1.99911943512995e-05,42
"3","Aromatic",137.5,0.0165312910023425,30
"4","Basic",161.5,0.136933961714395,27
"5","Cyclic",0,2.6099956571673e-05,9
"6","Neutral",237.5,0.1390848124613,39
"7","Sulfur containing",88,0.0428099469265757,18
