"","Property","W","P_value","SamplesSie"
"1","Acidic",252,0.873083485392063,24
"2","Aliphatic",475.5,0.154961261862987,56
"3","Aromatic",400,0.508284414235928,40
"4","Basic",378,0.916038529725872,36
"5","Cyclic",35,2.56950281611176e-05,12
"6","Neutral",546,0.949856126690017,52
"7","Sulfur containing",252,0.873083485392063,24
